0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,relative_runtime
0.8948068,-0.4529468,-2.6228936,-0.7460307,0.63473713,1.2626655,0.5541396,0.40416846,1.0183334,0.80006653,-0.04811872,0.7389512,0.82479733,0.11975323,0.54137045,0.3899699,0.018070253,-0.52201915,0.96043324,1.5210724,0.5151401,1.9450974,-1.1078337,-0.49338904,-1.5993024,0.8951699,0.3029164,-1.4140034,0.25914094,-0.40886176,0.16969633,-1.8070611,-0.2114144,-2.515477,0.914801,0.6107477,0.14825892,0.6321605,-0.96356004,2.2681491,-0.2528538,-0.6805952,-0.81916964,0.38947493,-0.19712947,-1.786184,-0.27661264,1.3087702,-1.1928642,0.17892659,1.0031408,14785637000.0,53841592000.0,11596965000.0,52081720000.0,3221982700.0,1137163300.0,1281648000.0,142716370.0,0.0038241113,656559170.0,1210558100.0,0.004695031,0.0019445885,2874492000.0,0.88981533
0.89480716,-0.45294562,-2.6228912,-0.7460281,0.6347379,1.2626675,0.5541405,0.40416923,1.0183342,0.8000687,-0.048117124,0.73895127,0.8247991,0.119753756,0.5413715,0.38997087,0.018070433,-0.5220167,0.96043575,1.5210729,0.51514065,1.9450977,-1.1078333,-0.49338663,-1.5993009,0.89517033,0.3029179,-1.414002,0.25914147,-0.40886018,0.1696973,-1.8070589,-0.21141346,-2.5154736,0.9148039,0.6107492,0.14825985,0.6321631,-0.96355796,2.2681494,-0.25285316,-0.68059313,-0.81916904,0.3894763,-0.19712687,-1.786183,-0.2766107,1.3087713,-1.1928633,0.17892945,1.003142,14785549000.0,53833884000.0,11595463000.0,52083335000.0,3221584600.0,1136960900.0,1281426400.0,142693810.0,0.0038266408,656464260.0,1210406100.0,0.0046971347,0.0019462875,2873907500.0,0.88987243
0.8948075,-0.45294446,-2.622889,-0.7460256,0.6347386,1.2626696,0.55414146,0.40416998,1.0183349,0.8000708,-0.048115514,0.73895127,0.8248009,0.119754285,0.5413726,0.38997188,0.018070618,-0.5220143,0.96043825,1.5210733,0.5151411,1.9450978,-1.1078327,-0.49338418,-1.5992994,0.8951708,0.30291942,-1.4140004,0.25914204,-0.4088586,0.16969828,-1.8070568,-0.21141252,-2.51547,0.9148068,0.6107507,0.14826077,0.63216573,-0.9635558,2.2681496,-0.2528525,-0.680591,-0.8191684,0.38947764,-0.19712423,-1.786182,-0.27660877,1.3087724,-1.1928624,0.17893232,1.0031432,14785453000.0,53826114000.0,11593949000.0,52084957000.0,3221183000.0,1136757000.0,1281203200.0,142671090.0,0.0038291914,656368700.0,1210253200.0,0.0046992465,0.001947999,2873319700.0,0.88993
0.8948078,-0.45294327,-2.6228867,-0.74602306,0.63473934,1.2626716,0.5541424,0.40417075,1.0183356,0.800073,-0.048113897,0.7389513,0.8248027,0.11975482,0.5413737,0.3899729,0.018070802,-0.5220119,0.9604408,1.5210737,0.51514167,1.945098,-1.1078321,-0.49338174,-1.5992979,0.8951712,0.30292094,-1.413999,0.25914264,-0.408857,0.16969927,-1.8070546,-0.21141157,-2.5154667,0.91480976,0.6107522,0.14826171,0.63216835,-0.96355367,2.2681499,-0.2528518,-0.68058884,-0.81916773,0.389479,-0.19712158,-1.7861812,-0.2766068,1.3087736,-1.1928616,0.17893523,1.0031443,14785370000.0,53818290000.0,11592432000.0,52086600000.0,3220778000.0,1136551700.0,1280978600.0,142648210.0,0.0038317645,656272500.0,1210099200.0,0.004701377,0.0019497242,2872727300.0,0.88998806
0.8948082,-0.45294204,-2.6228845,-0.74602044,0.63474005,1.2626737,0.5541433,0.40417156,1.0183362,0.80007523,-0.048112262,0.7389514,0.82480454,0.119755365,0.5413748,0.38997394,0.018070988,-0.52200943,0.9604434,1.5210742,0.5151422,1.9450983,-1.1078315,-0.49337924,-1.5992965,0.8951717,0.30292246,-1.4139974,0.2591432,-0.40885538,0.16970026,-1.8070525,-0.21141061,-2.515463,0.9148127,0.6107538,0.14826266,0.63217103,-0.96355146,2.26815,-0.25285113,-0.6805867,-0.81916714,0.3894804,-0.1971189,-1.7861803,-0.2766048,1.3087747,-1.1928606,0.17893815,1.0031455,14785275000.0,53810385000.0,11590897000.0,52088246000.0,3220370200.0,1136344400.0,1280751900.0,142625100.0,0.0038343556,656175500.0,1209944000.0,0.0047035282,0.0019514647,2872130800.0,0.89004666
0.89480853,-0.45294082,-2.6228821,-0.7460179,0.63474077,1.2626759,0.55414426,0.40417233,1.0183369,0.8000774,-0.04811062,0.73895144,0.8248064,0.11975591,0.54137594,0.38997495,0.018071175,-0.5220069,0.96044594,1.5210747,0.5151428,1.9450985,-1.1078309,-0.49337676,-1.5992949,0.8951722,0.302924,-1.4139959,0.25914377,-0.40885374,0.16970126,-1.8070502,-0.21140964,-2.5154595,0.91481566,0.61075526,0.14826362,0.6321737,-0.9635493,2.2681503,-0.25285044,-0.68058455,-0.8191665,0.3894818,-0.1971162,-1.7861793,-0.2766028,1.3087759,-1.1928598,0.17894109,1.0031466,14785189000.0,53802440000.0,11589356000.0,52089917000.0,3219958800.0,1136136000.0,1280524400.0,142601860.0,0.0038369682,656077900.0,1209787800.0,0.0047056917,0.001953217,2871530500.0,0.8901056
0.8948089,-0.4529396,-2.6228797,-0.7460152,0.63474154,1.262678,0.5541452,0.40417314,1.0183376,0.80007964,-0.04810896,0.7389515,0.82480824,0.11975646,0.54137707,0.389976,0.018071363,-0.5220044,0.96044856,1.5210751,0.51514333,1.9450988,-1.1078303,-0.49337423,-1.5992934,0.8951726,0.30292556,-1.4139943,0.25914437,-0.4088521,0.16970228,-1.8070481,-0.21140867,-2.515456,0.9148187,0.6107569,0.14826459,0.6321764,-0.96354705,2.2681506,-0.25284976,-0.68058234,-0.8191658,0.3894832,-0.19711347,-1.7861784,-0.27660078,1.3087771,-1.1928588,0.17894407,1.0031478,14785095000.0,53794402000.0,11587801000.0,52091585000.0,3219543800.0,1135925200.0,1280294300.0,142578420.0,0.003839603,655979460.0,1209630300.0,0.0047078743,0.0019549858,2870925300.0,0.8901652
0.89480925,-0.45293838,-2.6228774,-0.74601257,0.63474226,1.2626802,0.55414623,0.40417394,1.0183383,0.80008185,-0.048107293,0.73895156,0.8248101,0.11975701,0.5413782,0.38997704,0.018071553,-0.5220019,0.9604512,1.5210755,0.5151439,1.945099,-1.1078297,-0.49337173,-1.5992918,0.8951731,0.30292714,-1.4139928,0.25914496,-0.40885043,0.1697033,-1.8070458,-0.21140769,-2.5154521,0.9148217,0.6107584,0.14826556,0.63217914,-0.96354485,2.2681508,-0.25284907,-0.68058014,-0.81916517,0.3894846,-0.19711074,-1.7861774,-0.27659875,1.3087783,-1.192858,0.17894705,1.003149,14785005000.0,53786330000.0,11586236000.0,52093270000.0,3219126800.0,1135713400.0,1280063200.0,142554830.0,0.0038422502,655880500.0,1209472000.0,0.004710069,0.0019567655,2870317300.0,0.8902251
0.8948096,-0.45293713,-2.622875,-0.7460099,0.63474303,1.2626823,0.5541472,0.40417475,1.018339,0.8000841,-0.048105612,0.73895156,0.824812,0.11975756,0.54137933,0.3899781,0.018071745,-0.52199936,0.9604538,1.521076,0.5151444,1.9450991,-1.1078291,-0.49336916,-1.5992903,0.89517355,0.3029287,-1.4139912,0.25914553,-0.4088488,0.16970432,-1.8070436,-0.21140671,-2.5154486,0.9148248,0.61076,0.14826652,0.6321819,-0.96354264,2.268151,-0.2528484,-0.68057793,-0.81916445,0.38948604,-0.19710799,-1.7861764,-0.2765967,1.3087795,-1.192857,0.17895007,1.0031502,14784905000.0,53778160000.0,11584654000.0,52094968000.0,3218705000.0,1135499300.0,1279830000.0,142531020.0,0.0038449245,655780700.0,1209312300.0,0.0047122804,0.0019585618,2869702700.0,0.89028555
0.89480996,-0.45293587,-2.6228726,-0.7460072,0.6347438,1.2626845,0.55414814,0.40417555,1.0183398,0.8000864,-0.048103917,0.7389516,0.8248139,0.11975813,0.5413805,0.38997915,0.018071938,-0.5219968,0.96045643,1.5210764,0.515145,1.9450994,-1.1078285,-0.49336657,-1.5992887,0.895174,0.3029303,-1.4139897,0.25914612,-0.4088471,0.16970536,-1.8070413,-0.21140571,-2.515445,0.9148278,0.6107616,0.14826751,0.6321846,-0.9635404,2.2681513,-0.25284767,-0.6805757,-0.8191638,0.3894875,-0.1971052,-1.7861754,-0.27659464,1.3087807,-1.1928561,0.17895311,1.0031514,14784811000.0,53769937000.0,11583066000.0,52096664000.0,3218280400.0,1135283700.0,1279595300.0,142507020.0,0.0038476211,655680100.0,1209151500.0,0.0047145127,0.0019603737,2869084400.0,0.8903465
