0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,relative_runtime
-1.0867822,-0.8626432,1.9315763,0.19841704,-0.4974546,-0.20793413,2.0627513,-1.7121552,0.79681873,-0.22545947,1.6765754,-0.38024357,0.46993467,-1.6525805,-1.5370919,-1.1290046,1.0126088,-0.01738213,0.6570585,0.7583529,0.076067336,0.9891211,-1.5514498,-1.9876494,0.19713326,1.4134854,0.29609478,0.5311277,-0.20880693,-1.233924,-0.91220886,-0.34076664,1.2417507,-1.5128618,0.054080516,0.7886532,-1.8014823,-0.7921115,-0.7438869,0.28844202,-0.58242923,0.4248616,-1.6447552,0.7749353,0.44080964,-0.2868719,0.98361087,1.4827577,0.88284355,0.13866818,26349564.0,312784600.0,166068110.0,289161020.0,5979328.0,318825.97,259945.4,64950.555,7.2701006,7414850.0,8510161.0,37963.24,464940.66,4016617000.0,0.19388662
-1.0867819,-0.8626424,1.9315765,0.19841817,-0.4974545,-0.20793377,2.0627515,-1.7121542,0.7968189,-0.22545865,1.6765766,-0.38024247,0.46993527,-1.65258,-1.5370907,-1.1292,1.0126094,-0.0173797,0.65705866,0.7581902,0.0760675,0.9891214,-1.551449,-1.9876485,0.19713365,1.4134855,0.29609635,0.5311289,-0.20880724,-1.2340907,-0.912207,-0.34076628,1.2417508,-1.5128616,0.054081768,0.78858405,-1.801482,-0.79211056,-0.74397963,0.28839517,-0.5824277,0.42486292,-1.6447554,0.7749365,0.4408108,-0.286871,0.98361117,1.4827579,0.8827961,0.13866848,26383830.0,313114750.0,166158050.0,289518750.0,5985421.0,319178.16,260282.92,65017.305,7.2781367,7422611.0,8519155.0,37965.74,465100.38,4014687000.0,0.19403197
-1.0867815,-0.86264163,1.9315767,0.19841929,-0.49745435,-0.20793343,2.062752,-1.7121531,0.7968191,-0.22545783,1.6765777,-0.38024136,0.46993586,-1.6525795,-1.5370895,-1.1293952,1.0126098,-0.017377272,0.65705884,0.75802773,0.076067664,0.9891216,-1.5514481,-1.9876475,0.19713403,1.4134856,0.29609793,0.53113,-0.20880757,-1.2342572,-0.91220516,-0.3407659,1.241751,-1.5128615,0.054083016,0.78851503,-1.8014816,-0.7921096,-0.74407244,0.28834832,-0.5824262,0.42486423,-1.6447556,0.7749377,0.440812,-0.28687003,0.9836114,1.482758,0.88274866,0.13866876,26418040.0,313444380.0,166247840.0,289876400.0,5991515.0,319530.12,260620.66,65084.03,7.2861643,7430366.0,8528146.0,37968.234,465259.88,4012758500.0,0.19417723
-1.0867811,-0.86264086,1.931577,0.1984204,-0.49745423,-0.20793307,2.0627522,-1.712152,0.79681927,-0.22545703,1.6765789,-0.3802403,0.46993646,-1.6525791,-1.5370883,-1.1295899,1.0126103,-0.017374847,0.657059,0.7578658,0.07606783,0.9891219,-1.5514472,-1.9876467,0.19713442,1.4134858,0.2960995,0.53113115,-0.2088079,-1.2344232,-0.9122033,-0.34076554,1.2417511,-1.5128613,0.054084264,0.7884462,-1.8014812,-0.7921087,-0.74416476,0.28830162,-0.58242464,0.42486554,-1.6447557,0.77493894,0.44081315,-0.2868691,0.98361164,1.4827583,0.88270134,0.13866906,26452196.0,313773900.0,166337380.0,290233380.0,5997600.5,319881.3,260957.58,65150.613,7.29419,7438111.5,8537114.0,37970.727,465419.0,4010835000.0,0.19432199
-1.0867808,-0.8626401,1.9315773,0.19842154,-0.49745408,-0.20793273,2.0627525,-1.7121509,0.79681945,-0.22545622,1.6765801,-0.3802392,0.46993706,-1.6525786,-1.5370871,-1.1297841,1.0126108,-0.017372424,0.6570592,0.7577041,0.07606799,0.98912215,-1.5514463,-1.9876457,0.19713482,1.4134858,0.2961011,0.5311323,-0.20880824,-1.2345889,-0.91220146,-0.34076515,1.2417512,-1.512861,0.054085508,0.7883775,-1.8014809,-0.79210776,-0.74425703,0.28825498,-0.58242315,0.42486686,-1.6447558,0.77494013,0.44081432,-0.28686818,0.98361194,1.4827585,0.88265413,0.13866934,26486394.0,314102980.0,166426880.0,290590100.0,6003681.0,320232.53,261294.66,65217.23,7.302201,7445846.5,8546075.0,37973.21,465577.97,4008917000.0,0.19446649
-1.0867803,-0.8626392,1.9315776,0.19842276,-0.49745396,-0.20793234,2.062753,-1.7121497,0.7968197,-0.22545533,1.6765813,-0.380238,0.4699377,-1.6525781,-1.5370858,-1.1299963,1.0126114,-0.017369779,0.6570594,0.75752753,0.07606817,0.98912245,-1.5514455,-1.9876447,0.19713524,1.4134859,0.2961028,0.53113353,-0.20880859,-1.2347699,-0.91219944,-0.34076476,1.2417513,-1.5128608,0.054086868,0.78830254,-1.8014805,-0.7921067,-0.7443578,0.2882041,-0.5824215,0.4248683,-1.6447561,0.77494144,0.4408156,-0.28686717,0.98361224,1.4827588,0.88260263,0.13866967,26523748.0,314462850.0,166524670.0,290980640.0,6010332.0,320616.53,261663.11,65290.01,7.3109665,7454318.0,8555884.0,37975.926,465751.66,4006819800.0,0.19462441
-1.08678,-0.86263835,1.9315778,0.198424,-0.4974538,-0.20793195,2.0627532,-1.7121485,0.79681987,-0.22545443,1.6765826,-0.3802368,0.46993837,-1.6525776,-1.5370845,-1.1302112,1.012612,-0.017367095,0.6570596,0.7573487,0.07606835,0.98912275,-1.5514445,-1.9876437,0.19713567,1.413486,0.29610455,0.53113484,-0.20880896,-1.2349532,-0.91219735,-0.34076434,1.2417514,-1.5128605,0.05408825,0.78822654,-1.8014802,-0.7921057,-0.74445987,0.28815252,-0.58241975,0.42486975,-1.6447562,0.7749428,0.4408169,-0.28686616,0.9836125,1.482759,0.8825504,0.13866998,26561684.0,314828060.0,166623780.0,291376640.0,6017079.0,321006.22,262037.34,65363.94,7.3198576,7462899.0,8565825.0,37978.68,465927.62,4004697000.0,0.19478422
-1.0867795,-0.8626374,1.9315782,0.19842534,-0.49745366,-0.20793152,2.0627534,-1.7121472,0.7968201,-0.22545345,1.6765839,-0.3802355,0.46993908,-1.652577,-1.537083,-1.1304442,1.0126126,-0.017364182,0.65705985,0.7571548,0.07606854,0.98912305,-1.5514435,-1.9876425,0.19713615,1.4134862,0.29610643,0.5311362,-0.20880935,-1.2351519,-0.91219515,-0.3407639,1.2417516,-1.5128603,0.054089747,0.78814423,-1.8014797,-0.79210454,-0.7445705,0.2880966,-0.58241796,0.4248713,-1.6447564,0.77494425,0.4408183,-0.28686503,0.98361284,1.4827592,0.88249385,0.13867034,26602872.0,315224480.0,166731380.0,291806720.0,6024404.5,321429.2,262443.66,65444.094,7.3295145,7472220.5,8576626.0,37981.664,466118.72,4002396000.0,0.1949576
-1.086779,-0.8626364,1.9315784,0.19842674,-0.49745348,-0.20793107,2.062754,-1.7121459,0.79682034,-0.22545244,1.6765853,-0.38023412,0.46993983,-1.6525764,-1.5370816,-1.1306865,1.0126132,-0.01736115,0.6570601,0.75695324,0.07606875,0.9891234,-1.5514424,-1.9876413,0.19713664,1.4134864,0.2961084,0.53113765,-0.20880976,-1.2353585,-0.9121928,-0.34076342,1.2417518,-1.5128601,0.05409131,0.78805864,-1.8014793,-0.79210335,-0.74468565,0.28803846,-0.58241606,0.42487293,-1.6447567,0.7749458,0.44081977,-0.28686386,0.98361313,1.4827595,0.882435,0.13867071,26645776.0,315637300.0,166843460.0,292254900.0,6032031.5,321870.16,262866.84,65527.68,7.3395705,7481938.0,8587878.0,37984.766,466317.34,4000004400.0,0.19513778
-1.0867786,-0.86263543,1.9315788,0.19842814,-0.49745333,-0.20793064,2.0627544,-1.7121446,0.7968206,-0.22545142,1.6765867,-0.38023278,0.46994054,-1.652576,-1.53708,-1.1309282,1.0126138,-0.017358122,0.65706027,0.75675225,0.07606895,0.9891237,-1.5514413,-1.9876403,0.19713712,1.4134865,0.29611036,0.5311391,-0.20881017,-1.2355646,-0.9121905,-0.34076294,1.2417519,-1.5128598,0.05409286,0.78797334,-1.8014789,-0.79210216,-0.7448003,0.28798053,-0.58241415,0.42487457,-1.6447568,0.7749473,0.44082123,-0.2868627,0.9836135,1.4827597,0.8823764,0.13867107,26688646.0,316049820.0,166955230.0,292702400.0,6039652.0,322310.22,263289.5,65611.07,7.3496146,7491633.0,8599119.0,37987.86,466515.62,3997619200.0,0.19531748
-1.0867782,-0.8626345,1.931579,0.19842954,-0.49745315,-0.20793019,2.0627546,-1.7121432,0.7968208,-0.22545041,1.6765883,-0.3802314,0.4699413,-1.6525754,-1.5370786,-1.13117,1.0126144,-0.017355088,0.6570605,0.756551,0.07606916,0.98912406,-1.5514404,-1.9876391,0.19713761,1.4134866,0.29611233,0.5311405,-0.20881058,-1.2357708,-0.91218823,-0.3407625,1.241752,-1.5128596,0.054094423,0.78788793,-1.8014784,-0.79210097,-0.74491525,0.28792247,-0.58241224,0.4248762,-1.644757,0.77494884,0.44082272,-0.28686154,0.9836138,1.48276,0.8823176,0.13867144,26731636.0,316463300.0,167067150.0,293151550.0,6047284.0,322751.53,263713.84,65694.72,7.3596845,7501354.0,8610376.0,37990.96,466714.2,3995231500.0,0.19549738
-1.0867776,-0.86263335,1.9315794,0.1984311,-0.49745297,-0.2079297,2.062755,-1.7121418,0.7968211,-0.22544926,1.6765898,-0.38022986,0.46994215,-1.6525748,-1.537077,-1.1314455,1.0126151,-0.017351659,0.6570608,0.75632054,0.07606939,0.9891244,-1.5514392,-1.9876378,0.19713816,1.4134867,0.2961145,0.5311421,-0.2088111,-1.2360055,-0.9121856,-0.34076196,1.2417521,-1.5128592,0.05409618,0.78778994,-1.8014779,-0.79209965,-0.74504626,0.28785595,-0.5824102,0.42487806,-1.6447573,0.7749505,0.44082436,-0.28686023,0.98361415,1.4827603,0.8822507,0.13867185,26780542.0,316931460.0,167193010.0,293659500.0,6055921.5,323251.66,264194.5,65788.79,7.3711333,7512377.5,8623155.0,37994.574,466940.16,3992482600.0,0.19570282
-1.086777,-0.86263204,1.9315798,0.19843306,-0.49745277,-0.20792907,2.0627556,-1.7121398,0.7968215,-0.22544782,1.6765918,-0.38022795,0.4699432,-1.652574,-1.5370748,-1.131795,1.012616,-0.017347356,0.6570611,0.75602615,0.076069675,0.9891249,-1.5514376,-1.9876361,0.19713886,1.413487,0.29611716,0.53114414,-0.20881186,-1.2363031,-0.91218233,-0.3407613,1.2417524,-1.5128589,0.054098375,0.7876645,-1.8014773,-0.792098,-0.7452131,0.2877709,-0.58240783,0.42488036,-1.6447577,0.77495265,0.44082645,-0.2868586,0.9836146,1.4827607,0.88216573,0.13867237,26842384.0,317521060.0,167349890.0,294298560.0,6066775.5,323881.9,264801.47,65906.18,7.385612,7526274.5,8639265.0,37999.285,467226.4,3988950500.0,0.1959646
-1.0867764,-0.86263067,1.9315803,0.198435,-0.49745253,-0.20792845,2.062756,-1.7121379,0.7968218,-0.22544639,1.6765938,-0.38022602,0.46994427,-1.6525731,-1.5370727,-1.1321443,1.0126169,-0.017343052,0.65706146,0.755732,0.076069966,0.9891254,-1.5514361,-1.9876345,0.19713955,1.4134871,0.29611978,0.53114617,-0.20881264,-1.2366005,-0.9121791,-0.34076065,1.2417526,-1.5128585,0.054100566,0.78753906,-1.8014767,-0.7920963,-0.74537987,0.28768587,-0.58240545,0.42488265,-1.6447582,0.77495474,0.44082853,-0.28685695,0.9836151,1.482761,0.8820808,0.13867289,26904292.0,318111070.0,167506770.0,294938050.0,6077644.0,324512.47,265409.1,66023.81,7.4001107,7540187.0,8655393.0,38003.984,467512.34,3985420000.0,0.19622615
-1.0867757,-0.8626293,1.9315807,0.19843695,-0.49745232,-0.20792782,2.0627568,-1.712136,0.79682213,-0.22544494,1.6765957,-0.38022408,0.46994534,-1.6525724,-1.5370705,-1.1324937,1.0126177,-0.017338738,0.65706176,0.7554378,0.07607026,0.98912585,-1.5514346,-1.9876329,0.19714025,1.4134873,0.29612246,0.5311482,-0.20881338,-1.2368978,-0.91217583,-0.34076,1.2417529,-1.5128582,0.054102767,0.7874138,-1.801476,-0.7920947,-0.74554664,0.28760087,-0.582403,0.42488495,-1.6447587,0.7749569,0.44083065,-0.2868553,0.9836156,1.4827614,0.8819959,0.13867341,26966496.0,318703300.0,167664220.0,295580350.0,6088539.5,325145.53,266019.16,66141.805,7.414656,7554139.0,8671580.0,38008.695,467798.97,3981891600.0,0.19648772
-1.0867751,-0.862628,1.9315811,0.1984389,-0.49745208,-0.2079272,2.0627573,-1.7121342,0.7968225,-0.2254435,1.6765976,-0.38022217,0.46994638,-1.6525716,-1.5370684,-1.1328424,1.0126185,-0.017334422,0.6570621,0.75514424,0.07607055,0.9891263,-1.5514331,-1.9876312,0.19714093,1.4134876,0.29612508,0.5311502,-0.20881416,-1.2371947,-0.91217256,-0.34075934,1.2417531,-1.5128578,0.054104965,0.7872888,-1.8014754,-0.79209304,-0.74571306,0.28751603,-0.5824006,0.42488727,-1.6447592,0.77495897,0.44083273,-0.28685364,0.98361605,1.4827617,0.88191116,0.13867393,27028690.0,319295360.0,167821300.0,296222660.0,6099444.0,325779.2,266629.34,66259.76,7.4292088,7568106.5,8687769.0,38013.39,468085.12,3978371000.0,0.19674867
-1.0867743,-0.8626266,1.9315816,0.19844083,-0.49745187,-0.20792656,2.0627577,-1.7121323,0.79682285,-0.22544205,1.6765995,-0.38022023,0.46994746,-1.6525708,-1.5370662,-1.133193,1.0126195,-0.017330097,0.6570625,0.7548493,0.07607083,0.9891268,-1.5514315,-1.9876297,0.19714163,1.4134877,0.2961277,0.53115225,-0.20881496,-1.2374932,-0.9121693,-0.34075868,1.2417532,-1.5128573,0.054107167,0.78716296,-1.8014748,-0.79209137,-0.74588037,0.28743047,-0.5823983,0.42488956,-1.6447598,0.7749611,0.44083482,-0.286852,0.98361653,1.4827621,0.88182575,0.13867445,27091076.0,319889300.0,167978380.0,296867500.0,6110385.0,326413.44,267241.9,66378.05,7.443817,7582099.0,8703984.0,38018.094,468372.53,3974824700.0,0.19701126
-1.0867738,-0.86262524,1.9315821,0.19844283,-0.49745163,-0.20792592,2.0627582,-1.7121304,0.7968232,-0.22544058,1.6766015,-0.38021824,0.46994856,-1.65257,-1.5370641,-1.133556,1.0126203,-0.01732563,0.65706277,0.75454426,0.07607113,0.9891273,-1.55143,-1.987628,0.19714235,1.4134879,0.2961304,0.53115433,-0.20881587,-1.2378023,-0.91216594,-0.340758,1.2417535,-1.512857,0.05410944,0.78703254,-1.8014741,-0.7920897,-0.7460536,0.28734162,-0.58239585,0.42489195,-1.6447604,0.77496326,0.440837,-0.2868503,0.983617,1.4827626,0.88173705,0.13867499,27155604.0,320503330.0,168140020.0,297534000.0,6121695.5,327069.2,267875.28,66500.36,7.4589276,7596553.5,8720730.0,38022.93,468669.72,3971145500.0,0.19728342
-1.0867728,-0.86262345,1.9315826,0.19844535,-0.49745134,-0.2079251,2.062759,-1.7121279,0.7968236,-0.22543871,1.676604,-0.38021573,0.46994993,-1.652569,-1.5370612,-1.1340126,1.0126215,-0.017320003,0.65706325,0.75416064,0.07607151,0.98912793,-1.5514281,-1.9876258,0.19714326,1.4134881,0.29613376,0.53115696,-0.208817,-1.2381911,-0.9121617,-0.34075713,1.2417538,-1.5128565,0.054112304,0.78686863,-1.8014734,-0.79208755,-0.7462715,0.28722987,-0.5823929,0.42489496,-1.6447612,0.774966,0.4408397,-0.28684816,0.98361766,1.482763,0.88162553,0.13867567,27237004.0,321277400.0,168343660.0,298375300.0,6135958.5,327895.4,268674.38,66654.49,7.4779854,7614782.5,8741841.0,38029.016,469043.78,3966522600.0,0.19762556
-1.086772,-0.8626216,1.9315832,0.19844797,-0.49745104,-0.20792425,2.0627596,-1.7121254,0.7968241,-0.22543676,1.6766067,-0.38021308,0.4699514,-1.652568,-1.5370584,-1.1344895,1.0126226,-0.01731411,0.65706366,0.75375986,0.0760719,0.9891286,-1.551426,-1.9876236,0.1971442,1.4134884,0.2961373,0.5311597,-0.20881818,-1.2385973,-0.91215724,-0.34075624,1.241754,-1.512856,0.054115303,0.78669745,-1.8014724,-0.79208535,-0.7464992,0.28711313,-0.5823897,0.4248981,-1.644762,0.7749689,0.44084257,-0.28684592,0.9836183,1.4827635,0.8815091,0.13867639,27322370.0,322088770.0,168556940.0,299257000.0,6150908.0,328761.56,269512.28,66815.96,7.4979615,7633887.5,8763973.0,38035.387,469435.16,3961691100.0,0.1979831
-1.0867708,-0.8626193,1.931584,0.19845137,-0.49745065,-0.20792314,2.0627606,-1.7121222,0.7968247,-0.22543424,1.67661,-0.3802097,0.46995327,-1.6525667,-1.5370545,-1.1351027,1.0126241,-0.017306516,0.65706426,0.7532448,0.07607241,0.9891294,-1.5514233,-1.9876207,0.19714543,1.4134887,0.29614183,0.5311633,-0.2088197,-1.2391193,-0.9121516,-0.34075508,1.2417544,-1.5128553,0.054119166,0.78647745,-1.8014714,-0.7920824,-0.74679184,0.28696308,-0.58238566,0.42490214,-1.6447631,0.7749726,0.44084626,-0.28684306,0.98361915,1.4827641,0.88135946,0.13867731,27432556.0,323135500.0,168831420.0,300394880.0,6170190.0,329879.38,270593.66,67024.35,7.523735,7658525.5,8792526.0,38043.57,469938.97,3955484700.0,0.19844253
