0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,target_y
-0.38882002,0.06650707,1.6091642,0.024161786,-0.20252217,0.9066977,-0.13576697,-1.1589866,0.8218169,0.49817142,-1.8394079,-1.2909245,-0.27748504,-1.3607705,-1.6022456,-0.2631426,-0.15904559,-0.040167004,0.41633677,1.8501902,0.5335625,1.5908294,-1.4063659,-0.5827926,0.47087938,-0.15344852,-1.368594,0.82210964,0.46725973,1.8167728,-0.038772125,-2.2155101,-1.2578057,-2.3897521,1.0102464,1.1311913,2.1069806,-0.27474988,-0.5314181,0.95711637,0.86608124,-0.79069704,-0.09702027,0.7179886,-0.6950529,-1.2176198,-0.5137428,-1.4214282,1.3741343,-0.80078,1.0011777,3691548200.0,2295563800.0,248802600.0,2851464000.0,772208060.0,1018349100.0,285076380.0,33206990.0,14.977642,8106116.5,679972540.0,555.64856,30157.506,12847382000.0,0.6787628
-0.38881788,0.066508435,1.6091657,0.024163676,-0.20252176,0.90669847,-0.13576342,-1.1589845,0.8218188,0.4981726,-1.8394003,-1.2909219,-0.2774846,-1.3607696,-1.602245,-0.26314214,-0.15904437,-0.04016614,0.41633818,1.8501911,0.5335635,1.5908295,-1.4063628,-0.5827914,0.47087976,-0.15344766,-1.368592,0.82211024,0.46726084,1.8167741,-0.03877039,-2.2155063,-1.257804,-2.389751,1.0102476,1.1311924,2.1069818,-0.27474806,-0.5314166,0.95711666,0.8660816,-0.7906949,-0.0970197,0.7179938,-0.6950506,-1.217619,-0.5137414,-1.4214258,1.3741349,-0.8007772,1.001179,3695094800.0,2299170000.0,249213730.0,2856383700.0,772989250.0,1018540300.0,285409340.0,33242636.0,14.98988,8125981.5,680669950.0,555.6741,30157.512,12858742000.0,0.67893153
-0.3888157,0.066509806,1.6091671,0.024165586,-0.20252134,0.9066993,-0.13575983,-1.1589824,0.82182074,0.4981738,-1.8393928,-1.2909193,-0.27748415,-1.3607689,-1.6022443,-0.26314172,-0.15904315,-0.040165268,0.4163396,1.850192,0.5335645,1.5908296,-1.4063598,-0.5827901,0.4708802,-0.1534468,-1.3685899,0.82211083,0.46726197,1.8167756,-0.03876864,-2.2155023,-1.2578024,-2.3897498,1.0102488,1.1311936,2.106983,-0.27474624,-0.53141516,0.957117,0.8660819,-0.7906927,-0.09701913,0.717999,-0.6950482,-1.2176181,-0.5137399,-1.4214236,1.3741356,-0.80077434,1.0011803,3698675500.0,2302812700.0,249628980.0,2861354000.0,773777400.0,1018733200.0,285746080.0,33278686.0,15.002244,8146096.5,681373100.0,555.69977,30157.52,12870234000.0,0.67910165
-0.38881353,0.06651119,1.6091686,0.024167512,-0.2025209,0.90670013,-0.13575621,-1.1589804,0.82182264,0.498175,-1.839385,-1.2909167,-0.2774837,-1.3607682,-1.6022437,-0.26314127,-0.1590419,-0.040164385,0.41634104,1.8501929,0.5335655,1.5908297,-1.4063567,-0.5827888,0.47088063,-0.15344591,-1.3685877,0.8221114,0.4672631,1.8167769,-0.038766872,-2.2154982,-1.2578007,-2.3897486,1.01025,1.131195,2.1069841,-0.27474442,-0.5314137,0.9571173,0.8660822,-0.7906905,-0.097018555,0.7180042,-0.69504577,-1.2176172,-0.5137384,-1.4214212,1.3741363,-0.8007714,1.0011817,3702290000.0,2306491600.0,250048480.0,2866379500.0,774574000.0,1018928100.0,286085800.0,33315070.0,15.014727,8166410.0,682083500.0,555.7257,30157.523,12881807000.0,0.6792738
-0.38881135,0.0665126,1.6091701,0.02416946,-0.20252047,0.90670097,-0.13575256,-1.1589783,0.82182455,0.4981762,-1.8393773,-1.290914,-0.27748325,-1.3607674,-1.6022431,-0.26314083,-0.15904064,-0.0401635,0.4163425,1.8501939,0.53356653,1.5908297,-1.4063536,-0.5827876,0.47088104,-0.15344504,-1.3685856,0.822112,0.46726426,1.8167783,-0.038765088,-2.2154942,-1.2577989,-2.3897474,1.0102512,1.1311963,2.1069853,-0.27474257,-0.5314122,0.9571177,0.8660825,-0.7906882,-0.097017966,0.71800953,-0.6950434,-1.2176163,-0.5137369,-1.4214188,1.3741369,-0.8007685,1.001183,3705938000.0,2310210800.0,250472500.0,2871457500.0,775376600.0,1019124300.0,286429020.0,33351798.0,15.027317,8186984.0,682801100.0,555.7519,30157.531,12893519000.0,0.67944777
-0.3888091,0.066514015,1.6091715,0.024171423,-0.20252004,0.9067018,-0.13574886,-1.1589762,0.8218265,0.4981774,-1.8393695,-1.2909113,-0.27748278,-1.3607666,-1.6022424,-0.26314038,-0.15903938,-0.040162597,0.416344,1.8501947,0.5335676,1.5908298,-1.4063504,-0.58278626,0.4708815,-0.15344413,-1.3685834,0.8221127,0.46726543,1.8167796,-0.03876328,-2.2154899,-1.2577972,-2.3897462,1.0102524,1.1311975,2.1069865,-0.2747407,-0.5314107,0.95711803,0.86608285,-0.79068595,-0.09701738,0.7180149,-0.69504094,-1.2176154,-0.5137354,-1.4214163,1.3741376,-0.8007656,1.0011845,3709628000.0,2313966600.0,250901180.0,2876591400.0,776189100.0,1019322800.0,286775780.0,33388828.0,15.040041,8207766.5,683525800.0,555.77844,30157.537,12905320000.0,0.67962366
-0.38880688,0.066515446,1.609173,0.024173407,-0.20251961,0.90670264,-0.13574514,-1.158974,0.8218285,0.49817866,-1.8393617,-1.2909086,-0.27748233,-1.3607659,-1.6022418,-0.26313993,-0.1590381,-0.04016169,0.41634545,1.8501956,0.5335687,1.59083,-1.4063473,-0.58278495,0.4708819,-0.15344323,-1.3685813,0.82211334,0.4672666,1.816781,-0.038761463,-2.2154858,-1.2577955,-2.389745,1.0102535,1.1311988,2.1069877,-0.27473882,-0.5314092,0.95711833,0.86608315,-0.7906837,-0.09701678,0.7180203,-0.69503844,-1.2176144,-0.51373386,-1.4214139,1.3741384,-0.8007626,1.0011859,3713349000.0,2317760800.0,251333740.0,2881773600.0,777007740.0,1019522500.0,287125540.0,33426270.0,15.052872,8228790.0,684257200.0,555.8051,30157.543,12917246000.0,0.67980117
-0.3888046,0.06651689,1.6091746,0.02417541,-0.20251916,0.9067035,-0.13574137,-1.1589719,0.82183045,0.4981799,-1.8393537,-1.2909058,-0.27748185,-1.3607651,-1.602241,-0.2631395,-0.1590368,-0.04016077,0.41634697,1.8501966,0.53356975,1.5908301,-1.406344,-0.58278364,0.47088236,-0.15344231,-1.368579,0.82211393,0.46726778,1.8167825,-0.038759623,-2.2154815,-1.2577938,-2.3897438,1.0102549,1.1312001,2.106989,-0.2747369,-0.53140765,0.9571187,0.8660835,-0.7906814,-0.09701618,0.71802574,-0.69503593,-1.2176136,-0.5137323,-1.4214114,1.374139,-0.8007596,1.0011873,3717105700.0,2321598200.0,251771300.0,2887019300.0,777835500.0,1019724160.0,287479140.0,33464110.0,15.065837,8250056.5,684995200.0,555.83215,30157.55,12929288000.0,0.67998064
-0.38880232,0.066518344,1.6091762,0.024177436,-0.20251872,0.90670437,-0.13573757,-1.1589696,0.8218325,0.49818116,-1.8393457,-1.2909031,-0.27748138,-1.3607643,-1.6022403,-0.263139,-0.1590355,-0.040159848,0.41634846,1.8501976,0.5335708,1.5908302,-1.4063408,-0.58278227,0.4708828,-0.15344138,-1.3685769,0.8221146,0.46726897,1.8167839,-0.038757764,-2.2154772,-1.257792,-2.3897426,1.010256,1.1312014,2.10699,-0.27473497,-0.5314061,0.95711905,0.8660838,-0.7906791,-0.09701557,0.7180313,-0.69503343,-1.2176126,-0.51373076,-1.421409,1.3741397,-0.8007566,1.0011888,3720901400.0,2325472300.0,252213390.0,2892311300.0,778671170.0,1019927550.0,287836300.0,33502316.0,15.07893,8271559.0,685741060.0,555.8594,30157.557,12941448000.0,0.6801619
-0.38880002,0.06651982,1.6091777,0.02417948,-0.20251827,0.9067052,-0.13573374,-1.1589675,0.82183444,0.49818242,-1.8393376,-1.2909002,-0.2774809,-1.3607635,-1.6022397,-0.26313853,-0.15903418,-0.040158913,0.41635,1.8501985,0.5335719,1.5908303,-1.4063375,-0.58278096,0.47088325,-0.15344046,-1.3685746,0.82211524,0.4672702,1.8167853,-0.03875589,-2.215473,-1.2577902,-2.3897412,1.0102574,1.1312027,2.1069913,-0.27473304,-0.53140455,0.9571194,0.86608416,-0.7906767,-0.097014956,0.71803683,-0.69503087,-1.2176117,-0.5137292,-1.4214065,1.3741404,-0.80075353,1.0011902,3724733000.0,2329388000.0,252659950.0,2897666800.0,779514800.0,1020133000.0,288197000.0,33540864.0,15.09213,8293315.0,686494200.0,555.88696,30157.562,12953726000.0,0.6803451
